year,month,n,s
1960,1,2027,845
1960,2,1439,1123
1960,3,1540,924
1960,4,797,725
1960,5,510,433
1960,6,944,343
1960,7,2116,655
1960,8,1585,1049
1960,9,1508,1398
1960,10,1050,753
1960,11,1415,404
1960,12,1272,938
1961,1,607,625
1961,2,341,501
1961,3,741,648
1961,4,607,867
1961,5,486,61
1961,6,598,533
1961,7,1248,560
1961,8,907,290
1961,9,1091,312
1961,10,312,103
1961,11,446,100
1961,12,653,342
1962,1,536,22
1962,2,480,159
1962,3,427,83
1962,4,570,160
1962,5,255,124
1962,6,279,230
1962,7,282,74
1962,8,601,74
1962,9,768,229
1962,10,516,121
1962,11,198,238
1962,12,408,180
1963,1,484,18
1963,2,304,160
1963,3,224,43
1963,4,224,225
1963,5,187,59
1963,6,305,64
1963,7,156,0
1963,8,357,157
1963,9,441,101
1963,10,474,24
1963,11,297,0
1963,12,141,115
1964,1,212,102
1964,2,224,69
1964,3,285,96
1964,4,56,105
1964,5,88,64
1964,6,234,11
1964,7,86,11
1964,8,327,22
1964,9,131,0
1964,10,98,26
1964,11,96,35
1964,12,305,129
1965,1,490,0
1965,2,285,38
1965,3,219,13
1965,4,108,28
1965,5,619,13
1965,6,105,113
1965,7,140,0
1965,8,158,59
1965,9,308,11
1965,10,344,120
1965,11,295,25
1965,12,324,30
1966,1,416,154
1966,2,383,0
1966,3,462,0
1966,4,823,24
1966,5,488,64
1966,6,803,115
1966,7,1383,208
1966,8,1606,33
1966,9,1097,286
1966,10,1050,239
1966,11,1303,98
1966,12,1307,595
1967,1,2473,917
1967,2,1662,663
1967,3,2020,1046
1967,4,974,778
1967,5,977,849
1967,6,1477,527
1967,7,1397,879
1967,8,2338,1020
1967,9,1036,774
1967,10,904,481
1967,11,1294,656
1967,12,1557,1573
1968,1,1443,1464
1968,2,1771,1088
1968,3,928,900
1968,4,982,844
1968,5,2348,1248
1968,6,1544,1242
1968,7,1514,832
1968,8,1561,1513
1968,9,1907,1471
1968,10,1211,979
1968,11,1336,1403
1968,12,1223,1228
1969,1,1578,815
1969,2,1098,932
1969,3,2282,1511
1969,4,1859,1010
1969,5,1613,1349
1969,6,1785,1033
1969,7,1024,945
1969,8,1291,1227
1969,9,1113,1005
1969,10,1756,1066
1969,11,1971,660
1969,12,1474,1767
